num,masses,lengths
0.0,8.429762,4.005155
3.0,3.919381,1.576965
4.0,3.510175,1.423637
5.0,5.731803,2.629423
7.0,6.218325,2.935966
8.0,3.062938,1.167251
9.0,4.49427,1.955736
10.0,4.812564,2.158953
12.0,3.9338,1.576965
14.0,3.872074,1.535169
16.0,5.725346,2.551617
17.0,3.980918,1.583765
18.0,3.54686,1.389059
19.0,4.340399,1.812069
20.0,4.197464,1.823851
22.0,2.53771,0.991057
24.0,3.015248,0.922315
26.0,2.840763,0.991057
27.0,2.914869,0.991057
28.0,3.357432,1.292164
29.0,3.279228,1.606165
30.0,4.157487,1.695339
31.0,3.219881,1.18441
33.0,2.732745,1.141638
34.0,5.08579,2.247506
35.0,4.874217,2.053155
37.0,4.617183,1.878014
40.0,3.583547,1.305097
41.0,3.039402,1.167251
42.0,4.831419,2.068482
43.0,5.087824,2.181746
48.0,2.840511,0.991057
49.0,3.084673,1.18441
52.0,3.035139,1.072841
54.0,2.736672,1.12255
55.0,4.222016,1.806397
57.0,3.169718,1.259158
58.0,2.863697,0.991057
59.0,2.953652,1.305097
60.0,5.279657,2.311261
61.0,3.191361,1.532043
62.0,2.967068,0.991057
63.0,4.196079,1.802361
64.0,5.427822,2.406025
65.0,2.856337,0.991057
66.0,3.526078,1.223345
67.0,2.863209,0.991057
70.0,3.051671,1.167251
71.0,4.020178,1.593194
72.0,3.967298,1.576965
73.0,3.372042,1.292164
74.0,3.850966,1.560146
75.0,3.977524,1.635966
76.0,3.317446,1.292164
77.0,8.639818,4.254565
78.0,3.984522,1.635966
79.0,3.723059,1.46823
80.0,4.069353,1.629977
81.0,3.933377,1.599709
82.0,3.423979,1.362856
83.0,6.56556,2.996323
84.0,4.05133,1.650134
85.0,4.798758,1.987387
86.0,4.269221,1.763022
87.0,4.124858,1.782244
88.0,4.155809,1.712735
89.0,3.745461,1.54265
90.0,6.982128,3.189358
91.0,3.733527,1.46823
92.0,2.853666,0.840608
93.0,4.045696,1.650134
94.0,3.984247,1.635966
95.0,3.503375,1.423637
96.0,2.83949,0.991057
98.0,3.700422,1.455663
99.0,3.702346,1.615088
101.0,6.449497,3.003287
102.0,6.917429,3.193123
105.0,2.885674,0.991057
106.0,3.88466,1.532043
108.0,3.092585,0.991057
109.0,5.663187,2.480219
110.0,3.421115,1.362856
112.0,2.845023,0.991057
113.0,3.759999,1.54265
114.0,2.934061,0.840608
117.0,5.184903,2.32793
118.0,2.853253,0.991057
121.0,6.107201,2.783454
123.0,3.457957,1.334971
125.0,7.830652,3.601115
126.0,4.240146,1.752138
128.0,5.627594,2.349797
129.0,5.436012,2.292379
131.0,4.510963,1.861197
132.0,4.01234,1.635966
133.0,2.538695,0.991057
137.0,3.413125,1.292164
138.0,5.349905,2.29051
140.0,7.723867,3.725157
141.0,2.730936,1.12255
143.0,4.885382,2.202062
144.0,5.032344,2.212064
145.0,3.866566,1.446505
146.0,4.363339,1.812069
147.0,6.116656,2.805765
148.0,4.882229,2.145798
149.0,5.362536,2.332264
150.0,3.228927,1.18441
152.0,5.006313,2.047609
153.0,2.893392,0.991057
157.0,3.041248,0.991057
158.0,7.295837,3.495549
159.0,6.399758,2.799637
160.0,4.171684,1.712735
161.0,4.327005,1.712735
164.0,3.213351,1.18441
165.0,5.292441,2.246645
166.0,5.880702,2.510376
167.0,3.940599,1.635966
168.0,3.963325,1.674933
169.0,5.83683,2.524865
170.0,4.45905,1.970475
171.0,4.542112,1.771837
173.0,5.641758,2.512761
174.0,4.901434,2.167517
175.0,3.722274,1.898046
176.0,3.011281,1.12255
178.0,4.170789,1.854645
181.0,4.404952,1.788238
182.0,4.678855,2.235296
183.0,6.784369,3.227657
184.0,5.679233,2.329144
186.0,3.900639,1.54265
187.0,6.670037,3.156761
188.0,4.844692,1.977091
189.0,3.926594,1.535169
192.0,4.251081,1.729489
193.0,3.492272,1.423637
194.0,3.03679,1.12255
195.0,3.941392,1.621321
196.0,3.808441,1.669429
197.0,6.97615,3.261883
198.0,4.386512,2.015235
200.0,4.016596,1.669429
202.0,2.841481,0.991057
205.0,3.631681,1.446505
206.0,4.109593,1.663886
207.0,3.532244,1.532043
208.0,2.887474,0.991057
210.0,5.14207,2.236799
211.0,4.799188,2.004097
214.0,2.846863,0.991057
216.0,4.997619,2.047609
217.0,3.596005,1.389059
218.0,2.578706,0.991057
220.0,3.053779,1.167251
221.0,4.953594,2.371902
222.0,3.276213,1.18441
223.0,3.768276,1.334971
224.0,2.563136,0.991057
225.0,2.550425,0.991057
226.0,3.717568,1.497233
229.0,4.301823,1.707722
230.0,4.755394,2.010224
231.0,7.262502,3.332166
233.0,3.802825,1.54265
234.0,3.114583,1.433229
237.0,2.660249,0.991057
238.0,2.928589,0.991057
239.0,2.542482,0.991057
240.0,5.739487,2.52889
241.0,5.365807,2.272879
242.0,2.846363,0.991057
243.0,4.229409,2.172025
245.0,3.47647,1.513352
246.0,3.412819,1.52442
248.0,4.979922,2.391093
249.0,3.236103,1.259158
250.0,3.025457,0.922315
251.0,4.424385,1.917958
252.0,3.990794,1.615088
253.0,3.560765,1.389059
257.0,4.376168,1.788238
258.0,4.481421,1.959765
259.0,3.85871,1.560146
261.0,2.889801,0.991057
263.0,5.216467,2.157165
265.0,3.223038,1.389059
266.0,3.317075,1.292164
269.0,5.235591,2.199475
270.0,6.57578,2.988825
273.0,5.159219,2.282177
278.0,3.446942,1.292164
279.0,3.942208,1.641909
282.0,5.968264,2.717227
283.0,3.020357,1.167251
284.0,3.589109,1.476945
285.0,2.543236,0.991057
287.0,4.422022,1.788238
288.0,3.803167,1.516615
289.0,3.806046,1.516615
293.0,4.433594,1.929736
295.0,3.928312,1.576965
298.0,3.241462,1.072841
299.0,2.736751,0.991057
300.0,3.873718,1.535169
303.0,3.525714,1.362856
305.0,3.759023,1.476945
307.0,4.559456,2.093449
310.0,7.008162,3.241368
311.0,2.557264,0.991057
312.0,6.565277,2.924021
315.0,3.016185,1.167251
317.0,3.46416,1.362856
319.0,4.378802,1.784003
320.0,4.111019,1.663886
321.0,3.582732,1.362856
322.0,3.429,1.802361
323.0,3.328454,1.292164
324.0,3.839871,1.238548
326.0,5.236409,2.305656
328.0,4.910712,2.089268
330.0,2.955475,0.991057
331.0,3.91217,1.599709
334.0,4.666147,2.107439
335.0,5.04701,2.048969
336.0,4.260034,1.54265
338.0,3.116561,1.167251
339.0,4.28837,2.044334
340.0,3.516739,1.362856
341.0,5.256292,2.380211
342.0,3.038444,1.167251
344.0,4.229852,1.871713
345.0,4.50672,2.127603
347.0,4.884076,2.028114
348.0,3.725939,1.48544
349.0,5.075079,2.117873
350.0,5.126922,2.257947
351.0,5.418654,2.510376
353.0,4.670912,1.944155
355.0,3.616352,1.922351
356.0,4.008272,1.635966
357.0,5.2922,2.30128
358.0,5.87626,2.492564
360.0,2.859775,0.991057
362.0,3.910889,1.641909
363.0,5.635645,2.406444
366.0,5.465131,2.426136
368.0,5.502697,2.38837
370.0,5.264771,2.442733
371.0,5.239228,2.318546
372.0,3.215433,0.991057
374.0,7.420613,3.477196
375.0,3.856305,1.516615
377.0,3.210012,1.18441
378.0,5.18187,2.028114
379.0,2.556708,0.991057
380.0,2.630867,0.991057
381.0,2.630867,0.991057
382.0,5.675659,2.541299
383.0,5.195595,2.147322
385.0,5.803682,2.527807
386.0,4.476471,1.79415
390.0,2.90678,0.991057
392.0,2.899738,0.991057
393.0,3.546912,1.362856
394.0,4.173299,1.740948
395.0,4.159939,1.629977
396.0,6.732149,3.10733
398.0,4.784973,1.97322
401.0,3.039614,0.922315
403.0,4.170232,1.54265
408.0,2.942567,0.991057
410.0,5.972044,2.554384
411.0,5.191884,2.482072
412.0,3.647667,1.389059
413.0,3.083859,1.072841
414.0,5.092976,2.397766
415.0,4.217911,1.84368
417.0,5.036323,2.243101
418.0,3.916693,1.786495
419.0,5.647224,2.316787
420.0,2.718266,1.12255
421.0,3.481657,1.362856
422.0,3.694767,1.446505
424.0,3.824938,1.46823
426.0,3.822174,1.54265
427.0,5.727819,2.835011
428.0,4.03231,1.615088
430.0,3.192606,1.12255
431.0,5.502071,2.431182
434.0,3.585966,1.423637
436.0,4.340351,2.069765
438.0,6.658969,3.029164
439.0,2.842329,0.991057
440.0,3.914983,1.560146
441.0,6.38669,3.08967
442.0,7.773079,3.521313
443.0,5.273568,2.461774
445.0,3.232197,1.273096
447.0,2.556075,0.991057
448.0,5.213998,2.146561
450.0,4.344343,1.812069
452.0,3.177402,1.18441
453.0,4.747069,2.266997
454.0,4.529498,1.868243
455.0,4.036425,1.635966
